Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2001,31348 [27298-35397],COUNTRY,IDN
BTSX,SEX,2001,3265 [2702-3827],COUNTRY,AFG
BTSX,SEX,2001,3302 [2557-4047],COUNTRY,NER
BTSX,SEX,2001,3314 [2595-4034],COUNTRY,BFA
BTSX,SEX,2001,347 [275-419],COUNTRY,GMB
BTSX,SEX,2001,351830 [306886-414228],REGION,WPR
BTSX,SEX,2001,3541 [2942-4141],COUNTRY,ZWE
BTSX,SEX,2001,35656 [33461-37847],COUNTRY,BRA
BTSX,SEX,2001,3583 [2924-4241],COUNTRY,SYR
BTSX,SEX,2001,360 [276-458],COUNTRY,JAM
BTSX,SEX,2001,3627 [3084-4171],COUNTRY,SAU
BTSX,SEX,2001,3700 [2970-4430],COUNTRY,MWI
BTSX,SEX,2001,37094 [29439-44748],COUNTRY,NGA
BTSX,SEX,2001,3726 [3148-4304],COUNTRY,NPL
BTSX,SEX,2001,373 [301-444],COUNTRY,GNB
BTSX,SEX,2001,385 [350-420],COUNTRY,MNG
BTSX,SEX,2001,393263 [311547-461480],WORLDBANKINCOMEGROUP,WB_LMI
BTSX,SEX,2001,3934 [3136-4731],COUNTRY,YEM
BTSX,SEX,2001,416 [351-480],COUNTRY,NAM
BTSX,SEX,2001,4164 [3985-4330],COUNTRY,GBR
BTSX,SEX,2001,41984 [40793-43172],COUNTRY,RUS
BTSX,SEX,2001,4242 [3443-5041],COUNTRY,MDG
BTSX,SEX,2001,425 [360-496],COUNTRY,IRL
BTSX,SEX,2001,4263 [3545-4982],COUNTRY,CIV
BTSX,SEX,2001,4269 [3446-5092],COUNTRY,AGO
BTSX,SEX,2001,4299 [3919-4678],COUNTRY,PER
BTSX,SEX,2001,4339 [3747-4979],COUNTRY,ARG
BTSX,SEX,2001,4386 [3538-5234],COUNTRY,CMR
BTSX,SEX,2001,44676 [43061-46159],COUNTRY,USA
BTSX,SEX,2001,4522 [3960-5084],COUNTRY,TUR
BTSX,SEX,2001,454 [421-488],COUNTRY,ALB
BTSX,SEX,2001,459 [391-534],COUNTRY,DNK
BTSX,SEX,2001,462 [386-546],COUNTRY,FIN
BTSX,SEX,2001,469 [408-534],COUNTRY,NZL
BTSX,SEX,2001,477 [404-558],COUNTRY,PAN
BTSX,SEX,2001,497 [422-579],COUNTRY,KWT
BTSX,SEX,2001,4995 [4210-5779],COUNTRY,IRQ
BTSX,SEX,2001,5095 [4302-5888],COUNTRY,GHA
BTSX,SEX,2001,514 [418-611],COUNTRY,OMN
BTSX,SEX,2001,5157 [4439-5875],COUNTRY,PRK
BTSX,SEX,2001,518 [437-607],COUNTRY,URY
BTSX,SEX,2001,521 [448-594],COUNTRY,BWA
BTSX,SEX,2001,522 [457-586],COUNTRY,ARE
BTSX,SEX,2001,535655 [470758-618074],WORLDBANKINCOMEGROUP,WB_UMI
BTSX,SEX,2001,553 [458-647],COUNTRY,LSO
BTSX,SEX,2001,559 [481-644],COUNTRY,ISR
BTSX,SEX,2001,561 [470-660],COUNTRY,CHE
BTSX,SEX,2001,575 [456-712],COUNTRY,GEO
BTSX,SEX,2001,5934 [5318-6589],COUNTRY,ESP
BTSX,SEX,2001,594 [538-650],COUNTRY,ARM
BTSX,SEX,2001,6 [4-9],COUNTRY,KIR
BTSX,SEX,2001,6 [5-8],COUNTRY,VCT
BTSX,SEX,2001,6030 [5355-6706],COUNTRY,MYS
BTSX,SEX,2001,61 [45-81],COUNTRY,SUR
BTSX,SEX,2001,610 [520-707],COUNTRY,LVA
BTSX,SEX,2001,6180 [4911-7451],COUNTRY,MOZ
BTSX,SEX,2001,627 [540-722],COUNTRY,SWE
BTSX,SEX,2001,63 [48-80],COUNTRY,BHS
BTSX,SEX,2001,6404 [6058-6757],COUNTRY,POL
BTSX,SEX,2001,647 [497-832],COUNTRY,PRY
BTSX,SEX,2001,65 [46-89],COUNTRY,FJI
BTSX,SEX,2001,66 [50-85],COUNTRY,BRN
BTSX,SEX,2001,662 [555-780],COUNTRY,MDA
BTSX,SEX,2001,667 [573-770],COUNTRY,HRV
BTSX,SEX,2001,670 [526-843],COUNTRY,GTM
BTSX,SEX,2001,6937 [6029-7844],COUNTRY,MAR
BTSX,SEX,2001,696 [602-798],COUNTRY,CRI
BTSX,SEX,2001,7 [5-9],COUNTRY,GRD
BTSX,SEX,2001,700 [575-825],COUNTRY,MRT
BTSX,SEX,2001,703 [590-831],COUNTRY,KGZ
BTSX,SEX,2001,708 [646-769],COUNTRY,BIH
BTSX,SEX,2001,7127 [5916-8338],COUNTRY,SDN
BTSX,SEX,2001,7133 [6312-7955],COUNTRY,DZA
BTSX,SEX,2001,72 [59-87],COUNTRY,LUX
BTSX,SEX,2001,72 [62-81],COUNTRY,BTN
BTSX,SEX,2001,724 [606-843],COUNTRY,LAO
BTSX,SEX,2001,7287 [6513-8120],COUNTRY,DEU
BTSX,SEX,2001,7404 [6518-8336],COUNTRY,VEN
BTSX,SEX,2001,744 [670-818],COUNTRY,TKM
BTSX,SEX,2001,7473 [4390-10571],COUNTRY,EGY
BTSX,SEX,2001,749 [671-881],COUNTRY,LBN
BTSX,SEX,2001,758 [617-899],COUNTRY,ERI
BTSX,SEX,2001,765 [658-884],COUNTRY,LTU
BTSX,SEX,2001,7724 [6444-9088],COUNTRY,PHL
BTSX,SEX,2001,78 [69-87],COUNTRY,SLB
BTSX,SEX,2001,7922 [7511-8324],COUNTRY,ITA
BTSX,SEX,2001,7959 [7075-8892],COUNTRY,FRA
BTSX,SEX,2001,8067 [7041-9184],COUNTRY,COL
BTSX,SEX,2001,815 [642-969],COUNTRY,SVK
BTSX,SEX,2001,819 [620-1260],COUNTRY,AZE
BTSX,SEX,2001,8192 [6152-10232],COUNTRY,UGA
BTSX,SEX,2001,825 [749-901],COUNTRY,NIC
